A00	COLERA
T73	SINDROMES DEL MALTRATO
T74	EFECTOS DE OTRAS CAUSAS EXTERNAS
T75	EFECTOS ADVERSOS NO CLASIFICADOS EN OTRA PARTE
T78	ALGUNAS COMPLICACIONES PRECOCES DE TRAUMATISMOS NO CLASIFICADAS EN OTRA PARTE
T79	COMPLICACIONES CONSECUTIVAS A INFUSION, TRANSFUS E INYECCION TERAPEUTICA
T80	COMPLICACIONES DE PROCEDIMIENTOS NO CLASIFICADAS EN OTRA PARTE
T81	COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS CARDIOVASCULARES
T82	COMPLICACIONES DE DISPOSITIVOS, IMPLANTES E INJERTOS GENITOURINARIOS
T83	COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS
T84	COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS INTERNOS
T85	FALLA Y RECHAZO DEL TRASPLANTE DE ORGANOS Y TEJIDOS
T86	COMPLICACIONES PECULIARES DE LA REINSERSION Y AMPUTACION
T87	OTRAS COMPLICACIONES DE LA ATENCION MEDICA Y QUIRURGICA, NO CLASIFICADAS EN OTRA PARTE
T88	SECUELAS DE TRAUMATISMOS DE LA CABEZA
T90	SECUELAS DE TRAUMATISMOS DEL CUELLO Y DEL TRONCO
T91	SECUELAS DE TRAUMATISMOS DE MIEMBRO SUPERIOR
T92	SECUELAS DE TRAUMATISMOS DE MIEMBRO INFERIOR
T93	SECUELAS DE TRAUMATISMOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO Y LAS NO ESPECIFICADAS
T94	SECUELAS DE QUEMADURAS, CORROSIONES Y CONGELAMIENTOS
T95	SECUELAS DE ENVENENAMIENTOS POR DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
T96	SECUELAS DE EFECTOS TOXICOS DE SUSTANCIAS DE PROCEDENCIA NO MEDICINAL
T97	SECUELAS DE OTROS EFECTOS Y LOS NO ESPECIFICADOS DE CAUSAS EXTERNAS
T98	PEATON LESIONADO POR COLISION CON VEHICULO DE PEDAL
V01	PEATON LESIONADO POR COLISION CON VEHICULO DE DOS O TRES RUEDAS
V02	PEATON LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA FURGONETA
V03	PEATON LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V04	PEATON LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V05	PEATON LESIONADO POR COLISION CON OTROS VEHICULO SIN MOTOR
V06	PEATON LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V09	CICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL
V10	CICLISTA LESIONADO POR COLISION CON OTRO CICLISTA
V11	CICLISTA LESIONADO POR COLISION CON VEHICULO DE DOS O TRE RUEDAS
V12	CICLISTA LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA
V13	CICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O BUS
V14	CICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V15	CICLISTA LESIONADO POR COLISION CON OTROS VEHICULO SIN MOTOR
V16	CICLISTA LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO
V17	CICLISTA LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V18	CICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V19	MOTOCICLISTA LESIONADO POR COLISION CON PEATON O ANIMAL
V20	MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE PEDAL
V21	MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE DOS O TRES RUEDAS
V22	MOTOCICLISTA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA O FURGONETAA
V23	MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O BUS
V24	MOTOCICLISTA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V25	MOTOCICLISTA LESIONADO POR COLISION CON OTROS VEHICULO SIN MOTOR
V26	MOTOCICLISTA LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V27	MOTOCICLISTA LESIONADO ACCIDENTE TRANSPORTE SIN COLISION
V28	MOTOCICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE Y EN LOS NO ESPECIFICADOS
V29	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON PEATON O ANIMAL
V30	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON VEHICULO DE PEDAL
V31	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V32	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA
V33	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V34	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V35	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS POR COLISION CON OTRO VEHICULO SIN MOTOR
V36	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V37	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO EN ACCIDENTE DE TRANSITO SIN COLISION
V38	OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO EN OTROS ACCIDENTES Y EN LOS NO ESPECIFICADOS
V39	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON PEATON O ANIMAL
V40	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON VEHICULO DE PEDAL
V41	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V42	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON AUTO CAMIONETA O FURGONETA
V43	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V44	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V45	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON OTRO VEHICULO SIN MOTOR
V46	OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO
V47	OCUPANTE DE AUTOMOVIL LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION
V48	OCUPANTE DE AUTOMOVIL LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V49	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON PEATON O ANIMAL
V50	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON VEHICULO DE PEDAL
V51	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V52	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON AUTOMOVIL CAMIONETA FURGONETAA
V53	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V54	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V55	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR
V56	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO POR COLISION CON OBJETO ESTACIONADO FIJO
V57	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO EN ACCIDENTE TRANSPORTE SIN COLISION
V58	OCUPANTE DE CAMIONETA O FURGONETA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V59	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO PESADO LESIONADO POR COLISION CON PEATON O ANIMAL
V60	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON VEHICULO DE PEDAL
V61	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V62	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON AUTOMOVIL, CAMIONETA O FURGONETA
V63	OCUPANTE DE VEHICULO DE TRANSPORTE PESA LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V64	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V65	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OTRO VEHICULO SIN MOTOR
V66	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO
V67	OCUPANTE DE VEHICULO DE TRANSPORTEANSPORTE PESADO LESIONADO ACCIDENTE TRANSPORTE SIN COLISION
V68	OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V69	OCUPANTE DEUPANTE AUTOBUS LESIONADO POR COLISION CON PEATON O ANIMAL
V70	OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON VEHICULO DE PEDAL
V71	OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS
V72	OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON AUTO CAMIONETA O FURGONETA
V73	OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON VEHICULO DE TRANSPORTE PESADO O AUTOBUS
V74	OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON TREN O VEHICULO DE RIELES
V75	OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON OTR VEHICULO SIN MOTOR
V76	OCUPANTE DE AUTOBUS LESIONADO POR COLISION CON OBJETO ESTACIONADO O FIJO
V77	OCUPANTE DE AUTOBUS LESIONADO ACCIDENTE DETRANSPORTE SIN COLISION
V78	OCUPANTE DE AUTOBUS LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V79	JINETE U OCUPANTE DE VEHICULO DE TRACCION ANIMAL, LESIONADO EN ACCIDENTE DE TRANSPORTE
V80	OCUPANTE DE TREN O VEHICULO DE RIELES LESIONADO EN ACCIDENTE DE TRANSPORTE
V81	OCUPANTE DE TRANVIA LESIONADO EN ACCIDENTE DE TRANSPORTE
V82	OCUPANTE DE VEHICULO DE USO INDUSTRIAL LESIONADO EN ACCIDENTE DE TRANSPORTE
V83	OCUPANTE DE VEHICULO DE USO AGRICOLA LESIONADO ACCIDENTE DE TRANSPORTE
V84	OCUPANTE DE VEHICULO DE CONSTRUCCION LESIONADO ACCIDENTE DE TRANSPORTE
V85	OCUPANTE DE VEHICULO DE TODO TERRENO LESIONADO ACCIDENTE DE TRANSPORTE
V86	ACCIDENTE DE TRANSITO MODO TRANSPORTE VICTIM DESCONOC
V87	ACCIDENTE DE NO TRANS MODO TRANSPORTE VICTIM DESCONOC
V88	ACCIDENTE DE TIPO DE VEHICULO NO ESPECIFICADO
V89	ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION
V90	ACCIDENTE DE EMBARCACION QUE CAUSA OTROS TIPOS DE TRAUMATISMO
V91	AHOGAMIENTO Y SUMERSION REALCIONADOS CON TRANSPORTE POR AGUA, SIN ACCIDENTE DE EMBARCACION
V92	ACCIDENTE EN UNA EMBARCACION, SIN ACCIDENTE A LA EMBARCACION, QUE NO CAUSA AHOGAMIENTO Y SUMERSION
V93	OTROS ACCIDENTES DE TRANSPORTE POR AGUA, Y LOS NO ESPECIFICADOS
V94	ACCIDENTE DE AERONAVE DE MOTOR, CON OCUPANTE LESIONADO
V95	ACCIDENTE DE AERONAVE SIN MOTOR, CON OCUPANTE LESIONADO
V96	OTROS ACCIDENTES DE TRANSPORTE AEREO ESPECIFICADOS
V97	OTROS ACCIDENTE DE TRANSPORTE ESPECIFICADOS
V98	ACCIDENTE DE TRANSPORTE NO ESPECIFICADO
V99	CAIDA EN EL MISMO NIVEL POR HIELO O NIEVE
W00	CAIDA EN EL MISMO NIVEL POR DESLIZAMIENTO, TROPEZON O TRASPIE
W01	CAIDA POR PATINES PARA HIELO, ESQUIS, PATINES DE RUEDAS O PATINETA
W02	OTRAS CAIDAS EN EL MISMO NIVEL POR COLISION O POR EMPUJON DE OTRA PERSONA
W03	CAIDA AL SER TRASLADADO O SOSTENIDO POR OTRAS PERSONAS
W04	CAIDA QUE IMPLICA SILLA DE RUEDAS
W05	CAIDA QUE IMPLICA CAMA
W06	CAIDA QUE IMPLICA SILLA
W07	CAIDA QUE IMPLICA OTRO MUEBLE
W08	CAIDA QUE IMPLICA EQUIPOS PARA JUEGOS INFANTILES
W09	CAIDA EN O DESDE ESCALERA Y ESCALONES
W10	CAIDA EN O DESDE ESCALERAS MANUALES
W11	CAIDA EN O DESDE ANDAMIO
W12	CAIDA DESDE, FUERA O A TRAVES DE UN EDIFICIO U OTRA CONSTRUCCION
W13	CAIDA DESDE UN ARBOL
W14	CAIDA DESDE PEÑASCO
W15	SALTO O ZAMBULLIDA DENTRO DEL AGUA QUE CAUSA OTRO TRAUMATISMO SIN SUMERSION O AHOGAMIENTO
W16	OTRAS CAIDAS DE UN NIVEL A OTRO
W17	OTRAS CAIDAS EN EL MISMO NIVEL
W18	CAIDA NO ESPECIFICADA
W19	GOLPE POR OBJETO ARROJADO, PROYECTADO O QUE CAE
W20	GOLPE CONTRA O GOLPEADO POR EQUIPO PARA DEPORTES
W21	GOLPE CONTRA O GOLPEADO POR OTROS OBJETOS
W22	ATRAPADO, APLASTADO, TRABADO O APRETADO EN O ENTRE OBJETOS
W23	CONTACTO TRAUMATICO CON DISPOSITIVOS DE ELEVACION Y TRANSMISION, NO CLASIFICADAS EN OTRA PARTE
W24	CONTACTO TRAUMATICO CON VIDRIO CORTANTE
W25	CONTACTO TRAUMATICO CON CUCHILLO, ESPADA, DAGA O PUÑAL
W26	CONTACTO TRAUMATICO CON HERRAMIENTAS MANUALES SIN MOTOR
W27	CONTACTO TRAUMATICO CON CORTADORA DE CESPED, CON MOTOR
W28	CONTACTO TRAUMATICO CON OTRAS HERRAMIENTAS MANUALES Y ARTEFACTOS DE HOGAR, CON MOTOR
W29	CONTACTO TRAUMATICO CON MAQUINARIA AGRICOLA
W30	CONTACTO TRAUMATICO CON OTRAS MAQUINARIAS Y LAS NO ESPECIFICADAS
W31	DISPARO DE ARMA CORTA
W32	DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA
W33	DISPARO CON OTRAS ARMAS FUEGO Y LAS NO ESPECIFICADAS
W34	EXPLOSION Y ROTURA DE CALDERA
W35	EXPLOSION Y ROTURA DE CILINDRO CON GAS
W36	EXPLOSION Y ROTURA DE NEUMATICO, TUBO O MANGUERA DE GOMA PRESURIZADA
W37	EXPLOSION Y ROTURA DE OTROS DISPOSITIVOS PRESURIZADOS ESPECIFICADOS
W38	EXPLOSION DE FUEGOS ARTIFICIALES
W39	EXPLOSION DE OTROS MATERIALES
W40	EXPOSICION A CHORRO DE ALTA PRESION
W41	EXPOSICION AL RUIDO
W42	EXPOSICION A VIBRACIONES
W43	CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL
W44	CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL
W45	EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS Y LAS NO ESPECIFICADAS
W49	APORREO, GOLPE, MORDEDURA, PATADA, RASGUÑO O TORCEDURA INFLIGIDOS POR OTRAS PERSONAS
W50	CHOQUE O EMPELLON CONTRA OTRA PERSONA
W51	PERSONA APLASTADA, EMPUJADA O PISOTEADA POR UNA MULTITUD O ESTAMPIDA HUMANA
W52	MORDEDURA DE RATA
W53	MORDEDURA O ATAQUE DE PERRO
W54	MORDEDURA O ATAQUE DE OTROS MAMIFEROS
W55	CONTACTO TRAUMATICO CON ANIMALES MARINOS
W56	MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS
W57	MORDEDURA O ATAQUE DE COCODRILO O CAIMAN
W58	MORDEDURA O APLASTAMIENTO POR OTROS REPTILES
W59	CONTACTO TRAUMATICO CON AGUIJONES, ESPINAS U HOJAS CORTANTES DE PLANTAS
W60	EXPOSICION A OTRAS FUERZAS MECANICAS ANIMADAS Y LAS NO ESPECIFICADAS
W64	AHOGAMIENTO Y SUMERSION MIENTRAS SE ESTA EN LA BANERA
W65	AHOGAMIENTO Y SUMERSION CONSECUTIVOS A CAIDA EN LA BANERA
W66	AHOGAMIENTO Y SUMERSION MIENTRAS SE ESTA EN UNA PISCINA
W67	AHOGAMIENTO Y SUMERSION CONSECUTIVOS A CAIDA EN UNA PISCINA
W68	AHOGAMIENTO Y SUMERSION MIENTRAS SE ESTA EN AGUAS NATURALES
W69	AHOGAMIENTO Y SUMERSION POSTERIOR A CAIDA EN AGUAS NATURALES
W70	OTROS AHOGAMIENTOS Y SUMERSIONES ESPECIFICADOS
W73	AHOGAMIENTO Y SUMERSION NO ESPECIFICADOS
W74	SOFOCACION Y ESTRANGULAMIENTO ACCIDENTAL EN LA CAMA
W75	OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES
W76	OBSTRUCCION DE LA RESPIRACION DEBIDA A HUNDIMIENTO, CAIDA DE TIERRA U OTRAS SUSTANCIAS
W77	INHALACION DE CONTENIDOS GASTRICOS
W78	INHALACIONL E INGESTION DE ALIMENTO QUE CAUSA OBSTRUCCION DE LAS VIAS RESPIRATORIAS
W79	INHALACION E INGESTION DE OTROS OBJETOS QUE CAUSAN OBSTRUCCION DE LAS VIAS RESPIRATORIAS
W80	CONFINADO O ATRAPADO EN UN AMBIENTE CON BAJO CONTENIDO DE OXIGENO
W81	OTRAS OBSTRUCCIONES ESPECIFICADAS DE LA RESPIRACION
W83	OBSTRUCCION NO ESPECIFICADA DE LA RESPIRACION
W84	EXPOSICION A LINEAS DE TRANSMISION ELECTRICA
W85	EXPOSICION A OTRAS CORRIENTES ELECTRICAS ESPECIFICADAS
W86	EXPOSICION A CORRIENTE ELECTRICA NO ESPECIFICADA
W87	EXPOSICION A RADIACION IONIZANTE
W88	EXPOSICION A FUENTE DE LUZ VISIBLE Y ULTRAVIOLETA, DE ORIGEN ARTIFICIAL
W89	EXPOSICION A OTROS TIPOS DE RADIACION NO IONIZANTE
W90	EXPOSICION A RADIACION DE TIPO NO ESPECIFICADO
W91	EXPOSICION A CALOR EXCESIVO DE ORIGEN ARTIFICIAL
W92	EXPOSICION A FRIO EXCESIVO DE ORIGEN ARTIFICIAL
W93	EXPOSICION A PRESION DE AIRE ALTA BAJA Y A CAMBIOS EN LA PRESION DE AIRE
W94	EXPOSICION A OTROS FACTORES AMBIENTALES Y A LOS NO ESPECIFICADOS DE ORIGEN ARTIFICIAL
W99	EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X00	EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X01	EXPOSICION A FUEGO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION
X02	EXPOSICION A FUEGO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION
X03	EXPOSICION A IGNICION DE MATERIAL ALTAMENTE INFLAMABLE
X04	EXPOSICION A IGNICION O FUSION DE ROPAS DE DORMIR
X05	EXPOSICION A IGNICION O FUSION DE OTRAS ROPAS Y ACCESORIOS
X06	EXPOSICION A OTROS HUMOS, FUEGOS O LLAMAS ESPECIFICADOS
X08	EXPOSICION A HUMOS FUEGOS LLAMAS NO ESPECIFICADOS
X09	CONTACTO CON BEBIDAS, ALIMENTOS, GRASAS Y ACEITES PARA COCINAR, CALIENTES
X10	CONTACTO CON AGUA CALIENTE CORRIENTE
X11	CONTACTO CON OTROS LIQUIDOS CALIENTES
X12	CONTACTO CON VAPOR DE AGUA Y OTROS VAPORES CALIENTES
X13	CONTACTO CON AIRE Y GASES CALIENTES
X14	CONTACTO CON UTENSILIOS DOMESTICOS CALIENTES
X15	CONTACTO CON RADIADORES, CAÑERIAS Y ARTEFACTOS PARA CALEFACCION, CALIENTES
X16	CONTACTO CON MAQUINAS, MOTORES Y HERRAMIENTAS CALIENTES
X17	CONTACTO CON OTROS METALES CALIENTES
X18	CONTACTO CON OTRAS SUSTANCIAS CALIENTES Y LAS NO ESPECIFICADAS
X19	CONTACTO TRAUMATICO CON SERPIENTES Y LAGARTOS VENENOSOS
X20	CONTACTO TRAUMATICO CON ARAÑAS VENENOSAS
X21	CONTACTO TRAUMATICO CON ESCORPION
X22	CONTACTO TRAUMATICO CON AVISPAS, AVISPONES Y ABEJAS
X23	CONTACTO TRAUMATICO CON CENTIPODOS Y MIRIAPODOS VENENOSOS
X24	CONTACTO TRAUMATICO CON OTROS ARTROPODOS VENENOSOS ESPECIFICADOS
X25	CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS
X26	CONTACTO TRAUMATICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS
X27	CONTACTO TRAUMATICO CON OTRAS PLANTAS VENENOSOS ESPECIFICADOS
X28	CONTACTO TRAUMATICO CON ANIMALES Y PLANTAS VENENOSOS NO ESPECIFICADOS
X29	EXPOSICION AL CALOR NATURAL EXCESIVO
X30	EXPOSICION AL FRIO NATURAL EXCESIVO
X31	EXPOSICION A RAYOS SOLARES
X32	VICTIMA DE RAYO
X33	VICTIMA DE TERREMOTO
X34	VICTIMA DE ERUPCION VOLCANICA
X35	VICTIMA DE AVALANCHA, DERRUMBE Y OTROS MOVIMIENTOS DE TIERRA
X36	VICTIMA DE TORMENTA CATACLISMICA
X37	VICTIMA DE INUNDACION
X38	EXPOSICION A OTRAS FUERZAS NATURALES Y LAS NO ESPECIFICADAS
X39	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A ANALGESICOS, ANTIPIRETICOS Y ANTIRREUMATICOS
X40	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS, SEDANTES, HIPNOTICAS, ANTIPARINSONIANAS Y PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE
X41	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS] NO CLASIFICADOS EN OTRA PARTE
X42	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO
X43	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS Y LOS NO ESPECIFICADOS
X44	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A ALCOHOL
X45	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES
X46	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS GASES Y VAPORES
X47	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A PLAGUICIDAS
X48	ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS
X49	EXCESO DE ESFUERZO Y MOVIMIENTOS EXTENUANTES Y REPETITIVOS
X50	VIAJES Y DESPLAZAMIENTOS
X51	PERMANENCIA PROLONGADA EN AMBIENTE SIN GRAVEDAD
X52	PRIVACION DE ALIMENTOS
X53	PRIVACION DE AGUA
X54	PRIVACION NO ESPECIFICADA
X57	EXPOSICION A OTROS FACTORES ESPECIFICADOS
X58	EXPOSICION A FACTORES NO ESPECIFICADOS
X59	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A ANALGESICOS NO NARCOTICOS, ANTIPIRETICOS Y ANTIRREUMATICOS
X60	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A DROGAS ANTIEPILEPTICAS, SEDANTES, HIPNOTICAS, ANTIPARINSONIANAS Y PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE
X61	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A NARCOTICOS Y PSICODISLEPTICOS [ALUCINOGENOS] NO CLASIFICADOS EN OTRA PARTE
X62	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO
X63	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS Y LOS NO ESPECIFICADOS
X64	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALM POR, Y EXPOSICION A ALCOHOL
X65	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A DISOLVENTES ORGANICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES
X66	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTROS GASES Y VAPORES
X67	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A PLAGUICIDAS
X68	ENVENENAMIENTO AUTOINFLINGIDO INTENCIONALMENTE POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS
X69	LESION AUTOINFLINGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION
X70	LESION AUTOINFLINGIDA INTENCIONALMENTE POR AHOGAMIENTO Y SUMERSION
X71	LESIONION AUTOINFLINGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA
X72	LESION AUTOINFLINGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA
X73	LESION AUTOINFLINGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS
X74	LESION AUTOINFLINGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO
X75	LESION AUTOINFLINGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS
X76	LESION AUTOINFLINGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES
X77	LESION AUTOINFLINGIDA INTENCIONALMENTE POR OBJETO CORTANTE
X78	LESION AUTOINFLINGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO
X79	LESION AUTOINFLINGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO
X80	LESION AUTOINFLINGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO
